circonscription,etiquette,prenom_candidat,nom_candidat,prenom_suppleant,nom_suppleant,front_populaire
01-01,PS,,,,,0
01-02,PE,,,,,0
01-03,FI,Christian,JOLIE,Lisa,WILD,1
01-04,PE,,,,,0
01-05,FI,Florence,PISANI,Pascal,BAUDET,1
02-01,PS,,,,,0
02-02,FI,Anne-Sophie,DUJANCOURT,Didier,LATAPIE,1
02-03,PS,,,,,0
02-04,PS,,,,,0
02-05,PS,,,,,0
03-01,PCF,,,,,0
03-02,FI,Louise,HÉRITIER,Marie-Claude,MONCELON,1
03-03,PS,,,,,0
04-01,PE,,,,,0
04-02,FI,Léo,WALTER,Alice,ALLAMEL,1
05-01,PS,,,,,0
05-02,PS,,,,,0
06-01,FI,Olivier,SALERNO,Anne-Laure,CHAINTRON,1
06-02,FI,Leïla,TONNERRE,Sébastien,BRACCO,1
06-03,PS,,,,,0
06-04,PCF,,,,,0
06-05,PE,,,,,0
06-06,FI,Nicole,MAZZELLA,Guillaume,BOILEAU,1
06-07,FI,Arthur,MEYER-ABBATUCCI,Laïla,BLANDEL,1
06-08,FI,Lucia,SOUDANT,Cedric,RAMAGE,1
06-09,PS,,,,,0
07-01,PS,,,,,0
07-02,PS,,,,,0
07-03,FI,Florence,PALLOT,Michel,SABATIER,1
08-01,PS,,,,,0
08-02,FI,Gilles,LOYEZ,Véronique,VELTER,1
08-03,FI,Sophie,PERRIN,Johnny,GONZALEZ,1
09-01,PS,,,,,0
09-02,PS,,,,,0
10-01,PS,,,,,0
10-02,PS,,,,,0
10-03,PS,,,,,0
11-01,FI,Philippe,POUTOU,Pauline,SALINGUE,1
11-02,PE,,,,,0
11-03,PS,,,,,0
12-01,PE,,,,,0
12-02,FI,Laurent,ALEXANDRE,Dorothée,PIC,1
12-03,PS,,,,,0
13-01,PS,,,,,0
13-02,PE,,,,,0
13-03,PS,,,,,0
13-04,FI,Manuel,BOMPARD,Kalila,SEVIN,1
13-05,FI,Allan,POPELARD,Charlotte,DEWEERDT,1
13-05,FI,Hendrik,DAVI,Pauline,TOURNIER,0
13-06,PE,,,,,0
13-07,FI,Sébastien,DELOGU,Lilia,AZIZ,1
13-08,FI,Alexandre,BEDDOCK,Nadia,GRAINDORGE,1
13-09,PS,,,,,0
13-10,FI,Jimmy,BESSAIH,Pauline,SAUNIER,1
13-11,PS,,,,,0
13-12,PS,,,,,0
13-13,PCF,,,,,0
13-14,PS,,,,,0
13-15,FI,Wassila,AÏDAROUS,Danièle,MONGES,1
13-16,PCF,,,,,0
14-01,FI,Emma,FOURREAU,Aurélien,GUIDI,1
14-02,PS,,,,,0
14-03,PS,,,,,0
14-04,PCF,,,,,0
14-05,PE,,,,,0
14-06,FI,Noé,GAUCHARD,Annie,BIHEL,1
15-01,PS,,,,,0
15-02,FI,Zoé,PEBAY,Émilien,CABIRAN,1
16-01,FI,René,PILATO,Aude,MARCHAND,1
16-02,FI,Carole,BALLU,Gaël,DESVARD,1
16-03,PS,,,,,0
17-01,PE,,,,,0
17-02,PE,,,,,0
17-03,PS,,,,,0
17-04,FI,Danièle,DESSELLES,Johann,BANCHET,1
17-05,PS,,,,,0
18-01,PS,,,,,0
18-02,PCF,,,,,0
18-03,FI,Emma,MOREIRA,Nicolas,MALIN,1
19-01,PS,,,,,0
19-02,PE,,,,,0
21-01,PS,,,,,0
21-02,PE,,,,,0
21-03,PS,,,,,0
21-04,FI,Valérie,JACQ,Pierre-Marc,DOMINIQUE,1
21-05,PCF,,,,,0
22-01,FI,Marion,GORGIARD,Yann,HAMON,1
22-02,PE,,,,,0
22-03,PS,,,,,0
22-04,FI,Murielle,LEPVRAUD,Tanguy,KAZUMBA,1
22-05,FI,Marielle,LEMAITRE,Philippe,LE BOURDON,1
23-01,FI,Catherine,COUTURIER,Arnaud,CHAPAL,1
24-01,FI,Pascale,MARTIN,Dominique,LECONTE,1
24-02,PS,,,,,0
24-03,PS,,,,,0
24-04,PE,,,,,0
25-01,FI,Séverine,VÉZIÈS,Franck,LAIDIÉ,1
25-02,PE,,,,,0
25-03,PCF,,,,,0
25-04,PS,,,,,0
25-05,FI,Matthieu,CASSEZ,Pascale,HAEGELIN,1
26-01,PS,,,,,0
26-02,FI,Karim,CHKERI,Véronique,FIAT,1
26-03,PE,,,,,0
26-04,PS,,,,,0
27-01,PS,,,,,0
27-02,PS,,,,,0
27-03,FI,Jean-Christophe,TURPIN,Dorine,LE PÊCHEUR,1
27-04,PS,,,,,0
27-05,PE,,,,,0
28-01,PE,,,,,0
28-02,PS,,,,,0
28-03,PS,,,,,0
28-04,PS,,,,,0
29-01,PE,,,,,0
29-02,FI,Pierre-Yves,CADALEN,Cécile,BEAUDOUIN,1
29-03,FI,Pierre,SMOLARZ,Valérie,HEITZ,1
29-04,PE,,,,,0
29-05,PCF,,,,,0
29-06,PS,,,,,0
29-07,FI,Jugdeep,HARVINDER,Alexis,LAPERT,1
29-08,FI,Thomas,LE BON,Marie,CROGUENNEC,1
30-01,FI,Charles,MENARD,Fatima,EL HADI,1
30-02,PS,,,,,0
30-03,PCF,,,,,0
30-04,PS,,,,,0
30-05,FI,Michel,SALA,,,1
30-06,PE,,,,,0
31-01,FI,Hadrien,CLOUET,Hélène,MAGDO,1
31-02,FI,Anne,STAMBACH-TERRENOIR,Julien,CADIEU,1
31-03,FI,Agathe,ROBY,Aurélien,TARAVELLA,1
31-04,FI,François,PIQUEMAL,Victoria,SCAMPA,1
31-05,FI,Sylvie,ESPAGNOLLE,Franck,DE FIGUEIREDO,1
31-06,PS,,,,,0
31-07,FI,Christophe,BEX,Sylvie,GERMA,1
31-08,PS,,,,,0
31-09,PE,,,,,0
31-10,PS,,,,,0
32-01,FI,Pascal,LEVIEUX,Ann-Abel,HEMERY,1
32-02,PS,,,,,0
33-01,PE,,,,,0
33-02,PE,,,,,0
33-03,FI,Loïc,PRUD’HOMME,Marlène,TCHIKAYA,1
33-04,PS,,,,,0
33-05,PS,,,,,0
33-06,PS,,,,,0
33-07,PS,,,,,0
33-08,PCF,,,,,0
33-09,PS,,,,,0
33-10,PE,,,,,0
33-11,FI,Cécilia,FONSECA,Damien,CHABRIÈRES,1
33-12,FI,Mathilde,FELD,Lionel,CHOLLON,1
34-01,PE,,,,,0
34-02,FI,Nathalie,OZIOL,René,REVOL,1
34-03,PS,,,,,0
34-04,FI,Sébastien,ROME,Christelle,BROT-WEISSENBACH,1
34-05,PS,,,,,0
34-06,FI,Magali,CROZIER,Linda,MENDY,1
34-07,PCF,,,,,0
34-08,FI,Sylvain,CARRIÈRE,Livia,JAMPY,1
34-09,FI,Nadia,BELAOUNI,Tom,GUICHARD,1
35-01,FI,Marie,MESMEUR,Malou,DUHAMEL,1
35-01,FI,Frédéric,MATHIEU,Nolwenn,BENOIT,0
35-02,PE,,,,,0
35-03,PS,,,,,0
35-04,FI,Mathilde,HIGNET,Jean-Marie,LE GALL,1
35-05,FI,Gilles,RENAULT,Annick,BELLAMY,1
35-06,PCF,,,,,0
35-07,FI,Nicolas,GUIVARC’H,Camille,TAP,1
35-08,PS,,,,,0
36-01,FI,Eloïse,GONZALEZ,Amélie,DUMANS,1
36-02,PS,,,,,0
37-01,PE,,,,,0
37-02,FI,Christelle,GOBERT,Vincent,PINON,1
37-03,FI,Sandra,BARBIER,Mathieu,BARTHÉLEMY,1
37-04,PS,,,,,0
37-05,PCF,,,,,0
38-01,FI,Hugo,PREVOST,Salomé,ROBIN,1
38-02,PE,,,,,0
38-03,FI,Élisa,MARTIN,Alain,SAINTE-MARTINE,1
38-04,PS,,,,,0
38-05,PE,,,,,0
38-06,FI,Yaqine,DI SPIGNO,Claude,AGERON,1
38-07,PCF,,,,,0
38-08,PE,,,,,0
38-09,FI,Sandrine,NOSBÉ,Christian,FERRARIS,1
38-10,FI,Joëlle,RICHOL,Albin,DUBANCHET,1
39-01,FI,Anthony,BRONDEL,Véronique,BODIN,1
39-02,PCF,,,,,0
39-03,PE,,,,,0
40-01,PS,,,,,0
40-02,PCF,,,,,0
40-03,PS,,,,,0
41-01,FI,Reda,BELKADI,Mona,CAZIN,1
41-02,PCF,,,,,0
41-03,PE,,,,,0
42-01,PS,,,,,0
42-02,FI,Andrée,TAURINYA,Abdallah Samir,MOUHLI,1
42-03,PCF,,,,,0
42-04,FI,Bernard,PAEMELAERE,Marie,VELLY,1
42-05,FI,Ismaël,STEVENSON,Emilie,PISSARUK,1
42-06,FI,Marie-Paule,OLIVE,Hugo,LANTERMOZ,1
43-01,PE,,,,,0
43-02,PS,,,,,0
44-01,PS,,,,,0
44-02,FI,Andy,KERBRAT,Marina,FERRERUELA,1
44-03,FI,Ségolène,AMIOT,Driss,SAÏD,1
44-04,PE,,,,,0
44-05,PS,,,,,0
44-06,PE,,,,,0
44-07,PCF,,,,,0
44-08,FI,Matthias,TAVEL,Christelle,ARDOUIN,1
44-09,FI,Hélène,MACON,Bleiz,AMIOT,1
44-10,FI,Maxime,VIANCIN,Aurélie,ARQUIER,1
45-01,PS,,,,,0
45-02,PE,,,,,0
45-03,FI,Clément,VERDE,Alexandra,MOUTON,1
45-04,PCF,,,,,0
